origin,product,perc,sum_kg_product,category
ASTURIAS,AÑOJO,4.23,157291,Carne
ASTURIAS,APIO,0.04,1456,Verdura
ASTURIAS,APIONABO,0,144,Verdura
ASTURIAS,ATUN,0.01,300,Pescado
ASTURIAS,BACALADILLA-LIRIO,7.18,266898,Pescado
ASTURIAS,BACALAO,0.04,1600,Pescado congelado
ASTURIAS,BERBERECHO,0.01,251,Marisco
ASTURIAS,BOCARTE,0.15,5480,Pescado
ASTURIAS,BONITO,0.17,6404,Pescado
ASTURIAS,BOQUERON,1.59,59160,Pescado
ASTURIAS,BOQUERON,0.33,12300,Pescado congelado
ASTURIAS,BROCOLI,0.1,3700,Verdura
ASTURIAS,BROTOLA,0.01,263,Pescado
ASTURIAS,BUEY,0.01,450,Marisco
ASTURIAS,CABALLA,0.65,24027,Pescado
ASTURIAS,CALAMAR,0.31,11620,Pescado congelado
ASTURIAS,CARABINERO,0,178,Marisco
ASTURIAS,CARBONERO,0.02,644,Pescado
ASTURIAS,CENTOLLA,0,160,Marisco
ASTURIAS,CHERNAS,0,87,Pescado
ASTURIAS,CONGRIO,0.07,2500,Pescado
ASTURIAS,DORADA,0.01,300,Pescado
ASTURIAS,ELABORADOS,1.19,44095,Pescado congelado
ASTURIAS,GALLO,0.38,14103,Pescado
ASTURIAS,GAMBA,0.02,800,Pescado congelado
ASTURIAS,HUEVOS,2.88,106980,Huevos
ASTURIAS,JIBIA,0.01,450,Pescado
ASTURIAS,JUREL,0.01,320,Pescado
ASTURIAS,KIWI,44.87,1668525,Fruta
ASTURIAS,LANGOSTINO,0.04,1500,Marisco
ASTURIAS,LANGOSTINO,0.32,12000,Pescado congelado
ASTURIAS,LECHUGA,0.46,17220,Verdura
ASTURIAS,LUBINA,0.03,1050,Pescado
ASTURIAS,MANZANA,0.08,2800,Fruta
ASTURIAS,MARUCA,0.04,1350,Pescado
ASTURIAS,MEJILLON,0.03,1200,Marisco
ASTURIAS,MERLUZA,5.66,210545,Pescado
ASTURIAS,MERO,0,20,Pescado
ASTURIAS,NECORAS,0.1,3640,Marisco
ASTURIAS,OVINO,1.21,45180,Carne
ASTURIAS,PALOMETA-JAPUTA,0.06,2100,Pescado
ASTURIAS,PARGO,0.01,375,Pescado
ASTURIAS,PATATA,0.32,11920,Patata
ASTURIAS,PAVO,0.22,8000,Pollo
ASTURIAS,PESCADILLA,0.32,11774,Pescado
ASTURIAS,PEZ ESPADA,0.01,300,Pescado
ASTURIAS,POLLO,3.33,123988,Pollo
ASTURIAS,PORCINO,3.75,139340,Carne
ASTURIAS,RAPE,0.05,2000,Pescado congelado
ASTURIAS,RAYA,0.01,220,Pescado
ASTURIAS,RODABALLO,0.01,209,Pescado
ASTURIAS,SALMON,0.25,9458,Pescado
ASTURIAS,SALMONETE,0.05,1810,Pescado
ASTURIAS,SARDINA,0.01,300,Pescado
ASTURIAS,SARGO,0.03,1200,Pescado
ASTURIAS,TRUCHA,0.06,2230,Pescado
ASTURIAS,VACUNO,19.2,713821,Carne
AVILA,ACELGAS,0.37,3850,Verdura
AVILA,AJO TIERNO,0,16,Verdura
AVILA,AJOS,0.05,534,Verdura
AVILA,ALMENDRA,0,40,Fruta
AVILA,AÑOJO,0.79,8147,Carne
AVILA,AVICOLA,0.17,1800,Pollo
AVILA,BROCOLI,0.19,2000,Verdura
AVILA,CACAHUETE,0.01,80,Fruta
AVILA,CALABAZA,0.07,690,Verdura
AVILA,CALABAZAS,0.03,310,Verdura
AVILA,CEREZAS,9.22,95190,Fruta
AVILA,CODORNIZ,0.56,5800,Pollo
AVILA,CONEJO,0.56,5780,Pollo
AVILA,ELABORADOS,0.02,180,Verdura
AVILA,ESPINACAS,0.44,4550,Verdura
AVILA,FRESON,0.81,8320,Fruta
AVILA,GRELOS,0.05,500,Verdura
AVILA,HABAS,0.01,100,Verdura
AVILA,HIGOS,0.21,2200,Fruta
AVILA,HUEVOS,0.04,400,Huevos
AVILA,LECHUGA,0.41,4249,Verdura
AVILA,PANCHITO,0,50,Fruta
AVILA,PATATA,2.52,26028,Patata
AVILA,PAVO,34.57,356981,Pollo
AVILA,PEPINO,0.12,1200,Verdura
AVILA,PISTACHO,0,30,Fruta
AVILA,POLLO,32.87,339428,Pollo
AVILA,PORCINO,5.27,54458,Carne
AVILA,PUERROS,1.14,11800,Verdura
AVILA,REMOLACHA,0.35,3640,Verdura
AVILA,SETAS,0.42,4360,Verdura
AVILA,VACUNO,8.51,87847,Carne
AVILA,ZANAHORIA,0.19,2000,Verdura
BADAJOZ,AJO TIERNO,0,45,Verdura
BADAJOZ,AJOS,0.03,1455,Verdura
BADAJOZ,ALBARICOQUE,0.71,37460,Fruta
BADAJOZ,ALCACHOFA,0.14,7500,Verdura
BADAJOZ,AÑOJO,0.1,5440,Carne
BADAJOZ,APIO,0.18,9555,Verdura
BADAJOZ,APIONABO,0.02,945,Verdura
BADAJOZ,BONIATOS,0.01,700,Verdura
BADAJOZ,BROCOLI,0.94,49535,Verdura
BADAJOZ,CALABACIN,0.09,4600,Verdura
BADAJOZ,CALABAZA,0.07,3512,Verdura
BADAJOZ,CALABAZAS,0.03,1578,Verdura
BADAJOZ,CALAMAR,0.23,12200,Pescado congelado
BADAJOZ,CASTAÑA,0.49,26120,Fruta
BADAJOZ,CEBOLLA,0.11,6000,Verdura
BADAJOZ,CEREZAS,12.92,684281,Fruta
BADAJOZ,CIRUELA,6.02,318933,Fruta
BADAJOZ,CIRUELAS,3.93,207878,Fruta
BADAJOZ,COL,0,85,Verdura
BADAJOZ,COL CHINA,0.01,360,Verdura
BADAJOZ,COLES-REPOLLO,0.05,2640,Verdura
BADAJOZ,COLIFLOR,0.74,39420,Verdura
BADAJOZ,CONGELADOS,0.4,21160,Verdura
